# train_acc train_loss test_acc test_loss
9.945624999999999605e-02 2.303504235115051202e+00 9.960312699936020586e-02 2.303118438958664083e+00
3.902999999999999803e-01 2.048798310508728182e+00 5.240423064619321725e-01 1.924366547675447014e+00
4.228737499999999927e-01 2.025009432659149233e+00 2.838391714651311570e-01 2.147894383239501881e+00
3.874387499999999984e-01 2.047837166500091399e+00 3.371871001279590496e-01 2.087009550208703601e+00
3.327249999999999930e-01 2.105350179328918436e+00 2.524092290467050415e-01 2.205140678682772748e+00
3.262349999999999972e-01 2.124110536746978806e+00 4.000019993602047519e-01 2.024727350995850106e+00
3.609787500000000149e-01 2.072784901142120439e+00 2.392184500959692872e-01 2.181920743644504501e+00
2.041337500000000027e-01 2.214647531852722118e+00 2.013105806142034548e-01 2.212763377206110604e+00
2.003687500000000121e-01 2.214456726150512811e+00 2.013405710172744834e-01 2.218080555256253472e+00
2.001687500000000064e-01 2.219283078613281113e+00 2.013405710172744834e-01 2.218052581572334425e+00
2.002299999999999913e-01 2.219274092826843070e+00 2.013405710172744834e-01 2.218052431168803462e+00
2.002862499999999990e-01 2.219271673240661435e+00 2.013405710172744834e-01 2.218054269417233826e+00
2.003812500000000107e-01 2.219271683807372941e+00 2.013405710172744834e-01 2.218050161539860010e+00
2.003250000000000031e-01 2.219271557464599809e+00 2.013105806142034548e-01 2.218055892280486052e+00
2.002987499999999976e-01 2.219272498588562126e+00 2.013405710172744834e-01 2.218051514866560936e+00
2.003187499999999899e-01 2.219272718505859388e+00 2.013405710172744834e-01 2.218052428575639112e+00
2.003300000000000081e-01 2.219273613815307744e+00 2.013405710172744834e-01 2.218053846731448342e+00
2.003312499999999885e-01 2.219271196861267281e+00 2.013405710172744834e-01 2.218050779170587461e+00
2.002800000000000136e-01 2.219276267433166527e+00 2.013405710172744834e-01 2.218053733852530574e+00
2.001837499999999936e-01 2.219274735260009734e+00 2.013405710172744834e-01 2.218053695412682824e+00
2.001812500000000050e-01 2.219278150444030651e+00 2.013405710172744834e-01 2.218053755360540613e+00
2.002837500000000104e-01 2.219274507064819435e+00 2.013405710172744834e-01 2.218053737513468349e+00
2.002862499999999990e-01 2.219273468742370525e+00 2.013105806142034548e-01 2.218050092744735746e+00
2.003187499999999899e-01 2.219276635627746685e+00 2.013405710172744834e-01 2.218053734005069444e+00
2.002349999999999963e-01 2.219291603088378917e+00 2.013405710172744834e-01 2.218053405435895353e+00
2.002649999999999986e-01 2.219272822418212776e+00 2.013405710172744834e-01 2.218053939627746995e+00
1.954237500000000072e-01 2.220241094589233466e+00 2.013405710172744834e-01 2.212806521053887643e+00
1.992862499999999981e-01 2.215763015937805225e+00 1.492922264875239935e-01 2.284752666988360659e+00
2.099462500000000009e-01 2.223040214385986424e+00 2.045895313499680179e-01 2.216998834603883584e+00
1.342649999999999955e-01 2.281526950111389063e+00 1.089851247600767820e-01 2.307863350793176060e+00
1.328374999999999972e-01 2.284280832061767796e+00 2.085632597568778113e-01 2.208173004999728128e+00
2.100312500000000027e-01 2.207202408790588599e+00 2.190599008317338503e-01 2.198604031548771598e+00
2.071925000000000017e-01 2.209910738906860406e+00 2.017854286628278926e-01 2.214941586734237244e+00
2.018862499999999893e-01 2.215040886650085472e+00 1.999360204734484947e-01 2.217018772071550181e+00
2.006037499999999973e-01 2.216568583679199289e+00 1.999360204734484947e-01 2.217243105192178376e+00
2.007525000000000004e-01 2.216746402931213389e+00 1.999360204734484947e-01 2.217336575952921773e+00
2.006475000000000064e-01 2.216644141082763753e+00 1.999360204734484947e-01 2.216903098637830638e+00
2.007849999999999913e-01 2.216327572135925461e+00 1.999360204734484947e-01 2.216961731151060988e+00
2.007862499999999994e-01 2.216428694190978987e+00 2.005208333333333426e-01 2.216507956528618095e+00
2.007387499999999936e-01 2.216563393325805542e+00 1.999360204734484947e-01 2.217777557275421696e+00
2.006850000000000023e-01 2.216942384414672951e+00 1.999360204734484947e-01 2.217235972007268074e+00
2.007249999999999868e-01 2.216414230232238936e+00 1.999360204734484947e-01 2.216785010815581991e+00
2.006674999999999986e-01 2.216123912925720418e+00 1.999360204734484947e-01 2.217299558532138892e+00
2.006487499999999868e-01 2.216530663566589343e+00 1.999360204734484947e-01 2.217221613961462001e+00
2.006262500000000060e-01 2.216536341171264635e+00 1.999360204734484947e-01 2.217227933655468330e+00
2.006950000000000123e-01 2.216509205322265696e+00 1.999360204734484947e-01 2.217050575554103897e+00
2.006999999999999895e-01 2.216424238052367990e+00 1.999360204734484947e-01 2.217039897055939957e+00
2.007562499999999972e-01 2.216329439392089817e+00 1.999360204734484947e-01 2.217008540970502928e+00
2.006337499999999996e-01 2.216876240577697832e+00 1.999360204734484947e-01 2.217609408263281345e+00
2.006537499999999918e-01 2.216958285369873050e+00 1.999360204734484947e-01 2.217602250061962543e+00
2.006262500000000060e-01 2.216932952575683569e+00 1.999360204734484947e-01 2.217539468028189908e+00
2.005812499999999887e-01 2.217786315612793047e+00 1.999360204734484947e-01 2.221694087494052727e+00
2.004849999999999965e-01 2.220697310714721873e+00 1.999360204734484947e-01 2.220260264853674670e+00
2.004937499999999984e-01 2.219501360511779708e+00 1.999360204734484947e-01 2.220158187075448541e+00
1.990662500000000001e-01 2.221717187881469879e+00 1.999360204734484947e-01 2.220212375972794305e+00
2.004199999999999871e-01 2.216114755668640246e+00 1.999360204734484947e-01 2.216234923171752857e+00
2.008112499999999967e-01 2.215504719009399270e+00 1.999360204734484947e-01 2.216230299407217164e+00
2.007474999999999954e-01 2.215505446853637483e+00 1.999360204734484947e-01 2.216220577786690349e+00
2.007150000000000045e-01 2.215519184341430581e+00 1.999360204734484947e-01 2.216242540515696913e+00
2.007375000000000131e-01 2.215469379043579323e+00 1.999360204734484947e-01 2.216223390302212604e+00
2.007787500000000058e-01 2.215467891731262018e+00 1.999360204734484947e-01 2.216221543053976450e+00
2.006600000000000050e-01 2.215470551605224436e+00 1.999360204734484947e-01 2.216219074514075515e+00
2.008500000000000008e-01 2.215470373497009149e+00 1.999360204734484947e-01 2.216223258203370960e+00
