# train_acc train_loss test_acc test_loss
6.383928571428570953e-01 1.834306308201381075e+00 5.364583333333332593e-01 1.904733419418334961e+00
6.395089285714286031e-01 1.832289440291268390e+00 5.364583333333332593e-01 1.903695762157440186e+00
6.417410714285713969e-01 1.830172930444989854e+00 5.364583333333332593e-01 1.902462720870971680e+00
6.428571428571429047e-01 1.827838403838021319e+00 5.403645833333332593e-01 1.900765120983123779e+00
6.428571428571429047e-01 1.825114216123308486e+00 5.512152777777777901e-01 1.898341596126556396e+00
6.484375000000000000e-01 1.821343098367963487e+00 5.581597222222222099e-01 1.896235764026641846e+00
6.540178571428570953e-01 1.820607985768999404e+00 5.568576388888888395e-01 1.912291049957275391e+00
5.703125000000000000e-01 1.902274455342974013e+00 5.620659722222222099e-01 1.896762430667877197e+00
6.696428571428570953e-01 1.812830754688807833e+00 5.668402777777777901e-01 1.887939035892486572e+00
6.562500000000000000e-01 1.815591744014195097e+00 5.620659722222222099e-01 1.888575494289398193e+00
6.696428571428570953e-01 1.812878404344831162e+00 4.921875000000000000e-01 1.956808567047119141e+00
6.439732142857143016e-01 1.835506967135838163e+00 6.532118055555555802e-01 1.831258535385131836e+00
7.232142857142856984e-01 1.779265982764107745e+00 6.575520833333332593e-01 1.840103328227996826e+00
7.399553571428570953e-01 1.776564325605120009e+00 6.532118055555555802e-01 1.845467388629913330e+00
7.399553571428570953e-01 1.768182056290762860e+00 6.948784722222222099e-01 1.809849143028259277e+00
7.779017857142856984e-01 1.740935785429818194e+00 6.888020833333332593e-01 1.804827153682708740e+00
7.678571428571429047e-01 1.741945964949471515e+00 6.870659722222222099e-01 1.810668468475341797e+00
7.712053571428570953e-01 1.742432304791041719e+00 6.640625000000000000e-01 1.836094796657562256e+00
7.745535714285713969e-01 1.735653911318097764e+00 7.105034722222222099e-01 1.786056697368621826e+00
7.924107142857143016e-01 1.724703243800572050e+00 6.640625000000000000e-01 1.837374150753021240e+00
7.756696428571429047e-01 1.730577809470040362e+00 7.026909722222222099e-01 1.781038999557495117e+00
8.035714285714286031e-01 1.713123696190970380e+00 6.818576388888888395e-01 1.802785277366638184e+00
7.868303571428570953e-01 1.716937763350350421e+00 6.996527777777777901e-01 1.774117469787597656e+00
7.924107142857143016e-01 1.700492569378444063e+00 7.339409722222222099e-01 1.749008834362030029e+00
8.136160714285713969e-01 1.687375051634652179e+00 7.556423611111111605e-01 1.737578332424163818e+00
7.767857142857143016e-01 1.713704654148646700e+00 7.300347222222222099e-01 1.753106057643890381e+00
8.147321428571429047e-01 1.681867616517203290e+00 7.556423611111111605e-01 1.737242937088012695e+00
8.002232142857143016e-01 1.692796877452305448e+00 7.213541666666667407e-01 1.765697598457336426e+00
8.158482142857143016e-01 1.684200865881783526e+00 7.478298611111111605e-01 1.742569148540496826e+00
8.091517857142856984e-01 1.680590987205505371e+00 7.595486111111111605e-01 1.721810400485992432e+00
8.225446428571429047e-01 1.666461280414036406e+00 7.664930555555555802e-01 1.719147861003875732e+00
8.281250000000000000e-01 1.662297129631042480e+00 7.664930555555555802e-01 1.716548323631286621e+00
8.314732142857143016e-01 1.658769556454249727e+00 7.634548611111111605e-01 1.714940130710601807e+00
7.455357142857143016e-01 1.724389059203011554e+00 6.896701388888888395e-01 1.774297177791595459e+00
8.169642857142856984e-01 1.668881263051714248e+00 7.703993055555555802e-01 1.708151102066040039e+00
8.314732142857143016e-01 1.657219988959176105e+00 7.547743055555555802e-01 1.725534617900848389e+00
8.292410714285713969e-01 1.658687421253749239e+00 7.478298611111111605e-01 1.737391948699951172e+00
8.247767857142856984e-01 1.659358399254935224e+00 7.586805555555555802e-01 1.707840800285339355e+00
8.314732142857143016e-01 1.653425233704703290e+00 7.252604166666667407e-01 1.748093783855438232e+00
8.203125000000000000e-01 1.662974510874067002e+00 7.586805555555555802e-01 1.712190747261047363e+00
8.314732142857143016e-01 1.651943087577819824e+00 7.556423611111111605e-01 1.722409665584564209e+00
8.147321428571429047e-01 1.661328809601920087e+00 7.087673611111111605e-01 1.766245901584625244e+00
8.203125000000000000e-01 1.664682711873735732e+00 7.703993055555555802e-01 1.700787305831909180e+00
8.281250000000000000e-01 1.647060411317007977e+00 7.881944444444444198e-01 1.691901206970214844e+00
8.180803571428570953e-01 1.660375441823686904e+00 7.508680555555555802e-01 1.725263059139251709e+00
8.281250000000000000e-01 1.648644924163818359e+00 7.595486111111111605e-01 1.713001608848571777e+00
8.359375000000000000e-01 1.648015737533569336e+00 6.966145833333332593e-01 1.762835323810577393e+00
8.281250000000000000e-01 1.651037437575203937e+00 7.547743055555555802e-01 1.711572647094726562e+00
8.359375000000000000e-01 1.645718915121895831e+00 7.595486111111111605e-01 1.716710507869720459e+00
8.459821428571429047e-01 1.635755385671343154e+00 7.517361111111111605e-01 1.718627214431762695e+00
8.292410714285713969e-01 1.646522743361336749e+00 7.391493055555555802e-01 1.737395644187927246e+00
8.337053571428570953e-01 1.643690262522016221e+00 7.743055555555555802e-01 1.695801794528961182e+00
8.292410714285713969e-01 1.644915495600019151e+00 7.842881944444444198e-01 1.681953907012939453e+00
8.571428571428570953e-01 1.626381584576197969e+00 7.881944444444444198e-01 1.676826298236846924e+00
8.381696428571429047e-01 1.636024015290396649e+00 8.216145833333332593e-01 1.663917124271392822e+00
8.448660714285713969e-01 1.631881202970232314e+00 7.695312500000000000e-01 1.687321424484252930e+00
8.526785714285713969e-01 1.624420370374407119e+00 8.185763888888888395e-01 1.661208152770996094e+00
8.381696428571429047e-01 1.640581267220633466e+00 6.792534722222222099e-01 1.782128036022186279e+00
6.986607142857143016e-01 1.769781265939984971e+00 7.812500000000000000e-01 1.690289318561553955e+00
8.515625000000000000e-01 1.622475538934980088e+00 8.216145833333332593e-01 1.656608402729034424e+00
8.537946428571429047e-01 1.621953896113804472e+00 8.333333333333332593e-01 1.650966525077819824e+00
8.772321428571429047e-01 1.601586256708417588e+00 8.107638888888888395e-01 1.660342335700988770e+00
8.058035714285713969e-01 1.662167004176548613e+00 8.294270833333332593e-01 1.645544409751892090e+00
8.839285714285713969e-01 1.595235875674656523e+00 8.472222222222222099e-01 1.638806521892547607e+00
8.984375000000000000e-01 1.583371996879577637e+00 8.472222222222222099e-01 1.632501661777496338e+00
8.526785714285713969e-01 1.620625478880745929e+00 8.472222222222222099e-01 1.628789365291595459e+00
9.029017857142856984e-01 1.579521417617797852e+00 8.472222222222222099e-01 1.628438830375671387e+00
9.051339285714286031e-01 1.577207820756094891e+00 8.402777777777777901e-01 1.633696258068084717e+00
8.426339285714286031e-01 1.629017778805323946e+00 8.611111111111111605e-01 1.620679676532745361e+00
